28224;2010; 1; 1; 0; 5;   0.0;-24.9; 72;1001.7
28224;2010; 1; 1; 3; 5;   0.9;-24.9; 72;1001.0
28224;2010; 1; 1; 6; 6;   0.0;-24.7; 72;1001.1
28224;2010; 1; 1; 9; 6;   0.0;-23.5; 71;1000.6
28224;2010; 1; 1;12; 6;   0.0;-23.0; 73;1000.1
28224;2010; 1; 1;15; 5;   0.5;-22.1; 73; 999.0
28224;2010; 1; 1;18; 6;   0.0;-22.7; 73; 998.7
28224;2010; 1; 1;21; 5;   0.0;-22.7; 74; 998.2
28224;2010; 1; 2; 0; 5;   0.0;-22.3; 74; 996.9
28224;2010; 1; 2; 3; 5;   3.5;-21.1; 74; 995.3
28224;2010; 1; 2; 6; 4;   0.0;-20.1; 74; 994.8
28224;2010; 1; 2; 9; 3;   0.0;-18.0; 75; 992.8
28224;2010; 1; 2;12; 4;   0.0;-15.3; 78; 991.7
28224;2010; 1; 2;15; 5;   2.1;-14.7; 79; 991.1
28224;2010; 1; 2;18; 4;   0.0;-15.5; 79; 991.1
28224;2010; 1; 2;21; 4;   0.0;-15.7; 79; 990.8
28224;2010; 1; 3; 0; 3;   0.0;-15.0; 79; 989.7
28224;2010; 1; 3; 3; 3;   0.9;-14.0; 82; 988.5
28224;2010; 1; 3; 6; 3;   0.0;-11.5; 85; 987.3
28224;2010; 1; 3; 9; 5;   0.0; -9.3; 82; 986.3
28224;2010; 1; 3;12; 6;   0.0; -8.7; 83; 984.7
28224;2010; 1; 3;15; 6;   0.3; -8.9; 79; 983.2
28224;2010; 1; 3;18; 6;   0.0; -5.9; 81; 981.8
28224;2010; 1; 3;21; 7;   0.0; -6.1; 84; 981.4
28224;2010; 1; 4; 0; 6;   0.0; -6.5; 86; 980.5
28224;2010; 1; 4; 3; 5;   0.2; -5.3; 85; 980.3
28224;2010; 1; 4; 6; 5;   0.0; -7.1; 85; 980.3
28224;2010; 1; 4; 9; 4;   0.0; -7.3; 85; 980.3
28224;2010; 1; 4;12; 4;   0.0; -8.9; 83; 980.6
28224;2010; 1; 4;15; 4;   4.8; -9.8; 81; 981.8
28224;2010; 1; 4;18; 3;   0.0;-10.1; 84; 982.7
28224;2010; 1; 4;21; 3;   0.0; -9.8; 91; 984.8
28224;2010; 1; 5; 0; 3;   0.0;-12.2; 86; 988.5
28224;2010; 1; 5; 3; 3;   1.4;-19.3; 78; 992.4
28224;2010; 1; 5; 6; 5;   0.0;-21.9; 78; 995.5
28224;2010; 1; 5; 9; 2;   0.0;-21.9; 79; 998.0
28224;2010; 1; 5;12; 2;   0.0;-22.9; 75;1000.4
28224;2010; 1; 5;15; 2;   0.0;-23.7; 76;1002.6
28224;2010; 1; 5;18; 2;   0.0;-25.6; 80;1004.6
28224;2010; 1; 5;21; 2;   0.0;-26.7; 78;1006.3
28224;2010; 1; 6; 0; 2;   0.0;-27.6; 77;1007.8
28224;2010; 1; 6; 3; 2;   0.0;-28.8; 76;1008.8
28224;2010; 1; 6; 6; 1;   0.0;-28.9; 75;1009.6
28224;2010; 1; 6; 9; 2;   0.0;-27.5; 75;1009.7
28224;2010; 1; 6;12; 1;   0.0;-26.9; 76;1010.6
28224;2010; 1; 6;15; 0;   0.0;-30.9; 77;1011.1
28224;2010; 1; 6;18; 0;   0.0;-31.6; 75;1012.0
28224;2010; 1; 6;21; 0;   0.0;-32.4; 75;1012.7
28224;2010; 1; 7; 0; 1;   0.0;-33.2; 75;1013.8
28224;2010; 1; 7; 3; 0;   0.0;-33.8; 75;1015.1
28224;2010; 1; 7; 6; 1;   0.0;-33.2; 74;1016.0
28224;2010; 1; 7; 9; 0;   0.0;-25.9; 76;1017.1
28224;2010; 1; 7;12; 0;   0.0;-29.2; 76;1018.5
28224;2010; 1; 7;15; 0;   0.0;-30.9; 75;1019.6
28224;2010; 1; 7;18; 0;   0.0;-30.9; 75;1020.1
28224;2010; 1; 7;21; 0;   0.0;-30.6; 75;1021.0
28224;2010; 1; 8; 0; 1;   0.0;-30.7; 75;1021.8
28224;2010; 1; 8; 3; 0;   0.0;-30.7; 75;1022.2
28224;2010; 1; 8; 6; 0;   0.0;-30.6; 75;1022.9
28224;2010; 1; 8; 9; 2;   0.0;-25.3; 75;1022.1
28224;2010; 1; 8;12; 2;   0.0;-26.3; 74;1021.6
28224;2010; 1; 8;15; 2;   0.0;-27.1; 74;1020.2
28224;2010; 1; 8;18; 3;   0.0;-24.4; 74;1017.9
28224;2010; 1; 8;21; 4;   0.0;-23.7; 75;1013.8
28224;2010; 1; 9; 0; 4;   0.0;-20.1; 75;1010.7
28224;2010; 1; 9; 3; 4;   0.4;-18.7; 77;1008.8
28224;2010; 1; 9; 6; 4;   0.0;-16.5; 80;1007.5
28224;2010; 1; 9; 9; 4;   0.0;-14.6; 80;1006.5
28224;2010; 1; 9;12; 3;   0.0;-13.3; 79;1005.8
28224;2010; 1; 9;15; 4;   1.6;-13.5; 80;1004.8
28224;2010; 1; 9;18; 3;   0.0;-13.3; 83;1003.4
28224;2010; 1; 9;21; 3;   0.0;-11.7; 85;1002.6
28224;2010; 1;10; 0; 3;   0.0;-11.3; 85;1001.9
28224;2010; 1;10; 3; 2;   1.4;-11.7; 86;1000.9
28224;2010; 1;10; 6; 2;   0.0;-11.9; 84;1000.5
28224;2010; 1;10; 9; 3;   0.0;-12.7; 77;1000.1
28224;2010; 1;10;12; 3;   0.0;-13.7; 79;1000.3
28224;2010; 1;10;15; 3;   0.9;-15.1; 82;1000.2
28224;2010; 1;10;18; 2;   0.0;-15.5; 80; 999.2
